scenario,n,tau,true_composite,joint_chi2,joint_hotelling,joint_bootstrap_radial,joint_logit_chi2,joint_logit_hotelling,joint_logit_bootstrap_radial,joint_independent_chi2,composite_delta,composite_logit_delta,composite_percentile,composite_bca,composite_independent_percentile,width_percentile,width_independent_percentile,independent_width_change_pct,mean_cross_variance_share
central-positive-n100,100,0.0,0.5400248135042142,0.947,0.956,0.945,0.949,0.957,0.951,0.933,0.95,0.951,0.952,0.951,0.809,0.09430699136813978,0.06466322593283765,-31.433263860135018,0.5294132461445137
central-positive-n300,300,0.0,0.5400248135042142,0.949,0.954,0.947,0.952,0.956,0.95,0.909,0.941,0.941,0.942,0.94,0.802,0.05492070811897441,0.0374711422745066,-31.772288526700933,0.5322670647684857
central-positive-n800,800,0.0,0.5400248135042142,0.95,0.951,0.95,0.95,0.952,0.951,0.918,0.944,0.944,0.941,0.938,0.804,0.0335912549679058,0.022955629905746438,-31.661886619958047,0.5330106598147456
upper-bound-positive-n300,300,0.0,0.9198111070656797,0.927,0.93,0.926,0.943,0.945,0.944,0.93,0.957,0.959,0.958,0.958,0.84,0.023982708734750037,0.017144444354814194,-28.513311217541737,0.488798449571897
central-zero-n300,300,0.0,0.5400248135042142,0.947,0.951,0.948,0.947,0.952,0.95,0.944,0.954,0.954,0.954,0.956,0.954,0.037467509822646676,0.0374988390398196,0.08361702531398674,-0.0072886160026857764
central-negative-n300,300,0.0,0.5400248135042142,0.949,0.95,0.946,0.95,0.951,0.947,0.945,0.95,0.95,0.947,0.95,0.998,0.021881907806949607,0.03748869028722671,71.32276864506511,-1.9580445925285932
mixed-sign-n300,300,0.0,0.5400248135042142,0.952,0.955,0.95,0.95,0.958,0.953,0.938,0.956,0.956,0.952,0.953,0.958,0.037054853855741206,0.03739099508576948,0.9071449352813676,-0.027445506263363225
central-positive-noise-n300,300,0.8,0.5407008578377405,0.946,0.949,0.971,0.949,0.949,0.973,0.92,0.953,0.953,0.956,0.915,0.856,0.05492027634549852,0.03960845315083701,-27.8800913133361,0.4800810858588937
upper-bound-positive-noise-n300,300,0.8,0.9086106492093624,0.937,0.943,0.972,0.938,0.939,0.974,0.934,0.947,0.952,0.971,0.893,0.908,0.026514328520222123,0.020384041150748076,-23.12065857069908,0.4066374434448462
